Country,Date,City,Latitude (Degrees),Longitude (Degrees),Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
TD,1612756644,ushuaia,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,kaeo,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,rikitea,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,kavieng,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,hasaki,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,oriximina,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,pacific grove,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,mahibadhoo,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,caravelas,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,bluff,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,buta,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,vaini,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,punta arenas,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,okhotsk,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,terrasini,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,mataura,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,taolanaro,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,marcona,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,lusambo,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,sampit,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,ilulissat,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,geraldton,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,carnarvon,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,barrow,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,skjervoy,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,touros,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,castro,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,east london,13.8292,20.8324,16.88,27,99,6.01
TD,1612756644,albany,13.8292,20.8324,16.88,27,99,6.01
