Country,City,Latitude (Degrees),Longitude (Degrees),Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
TO,vaini,-21.2,-175.2,84.2,79,75,4.61
AU,esperance,-33.8667,121.9,91.4,21,16,11.5
CL,punta arenas,-53.15,-70.9167,50.0,66,90,20.71
RU,saskylakh,71.9167,114.0833,-20.72,85,100,14.14
RU,makaryev,57.8797,43.8069,-7.22,90,85,9.01
NA,opuwo,-18.0607,13.84,64.81,72,73,2.42
ZA,bredasdorp,-34.5322,20.0403,62.6,51,4,9.22
AU,hobart,-42.8794,147.3294,70.0,59,75,4.61
ET,bako,5.7833,36.5667,79.68,36,31,0.45
VE,ejido,8.5514,-71.2375,68.0,64,98,0.58
NZ,mataura,-46.1927,168.8643,57.99,78,73,14.0
SA,buraydah,26.326,43.975,60.8,55,20,6.91
CO,santa marta,11.2408,-74.199,82.99,74,32,1.01
CL,lebu,-37.6167,-73.65,56.35,84,0,15.19
RU,lipin bor,60.2622,37.9763,-12.17,88,0,6.26
CO,inirida,3.8653,-67.9239,75.81,90,99,1.07
RU,yukhnov,54.7444,35.2297,-7.64,90,0,4.43
RU,ust-tsilma,65.441,52.1498,-15.2,88,100,6.17
AU,carnarvon,-24.8667,113.6333,87.8,74,0,13.8
PF,rikitea,-23.1203,-134.9692,80.2,76,84,17.29
KI,butaritari,3.0707,172.7902,79.97,75,82,18.84
BR,castro,-24.7911,-50.0119,60.76,95,1,4.16
GL,tasiilaq,65.6145,-37.6368,30.2,86,90,2.3
CA,saint-augustin,51.226,-58.6502,-2.6,87,52,8.7
GL,upernavik,72.7868,-56.1549,-2.43,91,98,6.4
CL,talcahuano,-36.7167,-73.1167,55.4,82,0,9.22
MU,bambous virieux,-20.3428,57.7575,82.99,78,75,4.61
HK,victoria,22.2855,114.1577,75.99,44,0,1.99
ID,bengkulu,-3.8004,102.2655,85.6,67,11,10.29
CA,yellowknife,62.456,-114.3525,-7.01,77,1,11.5
US,albany,42.6001,-73.9662,24.01,58,100,2.89
AU,mackay,-21.15,149.2,82.4,78,75,19.57
AU,busselton,-33.65,115.3333,96.01,31,39,4.0
ML,araouane,18.9048,-3.5265,68.18,20,57,14.47
PG,kavieng,-2.5744,150.7967,84.6,72,10,9.69
ES,barcelona,41.3888,2.159,48.99,81,75,3.44
AR,san ramon de la nueva oran,-23.1322,-64.326,75.99,78,60,1.99
CA,high prairie,55.4334,-116.4858,-4.0,71,81,19.57
GL,qaanaaq,77.484,-69.3632,1.56,88,100,3.29
BR,rio claro,-22.4114,-47.5614,71.01,76,98,2.37
US,cleveland,41.4995,-81.6954,21.99,79,90,9.22
US,barrow,71.2906,-156.7887,-11.2,70,1,9.22
RU,kovdor,67.5662,30.4758,7.32,95,100,4.07
MY,george town,5.4112,100.3354,91.4,58,20,10.36
CL,coquimbo,-29.9533,-71.3436,62.6,82,90,8.05
ZA,port elizabeth,-33.918,25.5701,66.2,94,75,24.16
FR,lure,47.75,6.5,28.4,74,0,5.75
HU,sarbogard,46.8869,18.6204,27.0,50,0,4.0
PF,atuona,-9.8,-139.0333,78.96,76,28,12.06
SJ,longyearbyen,78.2186,15.6401,19.4,73,75,5.75
CA,moose factory,51.2585,-80.6094,-13.0,76,90,3.44
IN,manthani,18.65,79.6667,89.04,26,0,4.94
LK,hambantota,6.1241,81.1185,86.0,79,20,9.22
AU,flinders,-34.5833,150.8552,71.01,71,98,3.0
ZA,plettenberg bay,-34.0527,23.3716,65.7,76,97,15.93
CA,tuktoyaktuk,69.4541,-133.0374,-9.4,77,75,4.61
AR,ushuaia,-54.8,-68.3,48.2,71,75,4.61
US,jamestown,42.097,-79.2353,16.0,85,75,3.15
PH,santa catalina,9.3337,122.8637,80.6,89,75,6.91
ZA,port alfred,-33.5906,26.891,66.99,95,100,7.0
JP,katsuura,35.1333,140.3,66.2,88,75,25.32
US,rantoul,40.3084,-88.1559,1.0,85,90,17.27
CK,avarua,-21.2078,-159.775,82.4,74,20,4.61
US,san patricio,28.017,-97.5169,28.4,93,90,26.46
KY,west bay,19.3667,-81.4167,80.01,83,0,10.63
US,college,64.8569,-147.8028,-9.99,76,1,1.32
MV,kudahuvadhoo,2.6708,72.8944,81.59,76,75,12.75
RU,nyurba,63.2842,118.3319,-16.55,86,93,6.98
JP,wakkanai,45.4094,141.6739,33.8,93,75,23.02
TD,adre,13.4667,22.2,67.64,24,0,11.65
SO,hobyo,5.3505,48.5268,78.78,71,82,16.35
US,kapaa,22.0752,-159.319,75.2,78,20,4.61
IN,kavaratti,10.5669,72.642,80.85,63,19,7.16
AU,hervey bay,-25.2986,152.8535,79.0,66,68,5.99
RU,petropavlovsk-kamchatskiy,53.0452,158.6483,21.2,49,22,8.95
ZA,cape town,-33.9258,18.4232,66.0,55,40,3.44
RU,severo-kurilsk,50.6789,156.125,25.63,93,87,8.86
CA,port-cartier,50.0334,-66.8654,8.01,66,1,8.05
NA,henties bay,-22.116,14.2845,63.36,87,33,5.03
MV,hithadhoo,-0.6,73.0833,83.37,71,31,6.38
AU,new norfolk,-42.7826,147.0587,70.0,61,99,1.99
PT,ribeira grande,38.5167,-28.7,54.28,62,52,26.73
NZ,bluff,-46.6,168.3333,57.99,78,69,14.0
AO,luanda,-8.8368,13.2343,77.0,83,75,4.61
NU,alofi,-19.0595,-169.9187,82.4,78,40,9.22
NZ,tuatapere,-46.1333,167.6833,57.99,78,62,14.0
CA,norman wells,65.282,-126.8329,-7.6,77,75,5.75
